,Address,City,Zip Code,Price,sqft,# of Beds,# of Baths
2869,5101 Prestwick DR,Arlington,76001,285000,,3.0,2.0
2870,4104 Swinley Forest Drive,Arlington,76017,372990,,3.0,2.0
2871,1411 English Blue Lane,Arlington,76005,425000,,4.0,4.0
2872,4709 Westhaven Road,Arlington,76017,442800,,4.0,5.0
2873,2411 Copper Ridge Road,Arlington,76006,543900,,4.0,3.0
2874,4320 Cobalt Bloom Court,Arlington,76005,749000,,4.0,4.0
2875,305 Ditto Avenue,Arlington,76010,185000,,2.0,2.0
2876,1900 Windsor Drive,Arlington,76012,220000,,3.0,2.0
2877,505 Darlene Lane,Arlington,76010,230000,,4.0,2.0
2878,1601 University Drive,Arlington,76013,265000,,3.0,2.0
2879,8204 La Frontera Trail,Arlington,76002,305000,,4.0,2.0
2880,1511 N Fielder Road,Arlington,76012,488000,,3.0,3.0
2881,1506 Grace Street,Arlington,76010,129000,,2.0,1.0
2882,1901 Cloisters Drive,Arlington,76011,140000,,2.0,1.0
2883,5512 Atlantis Terrace,Arlington,76016,200000,,3.0,2.0
2884,1618 Grandview Drive,Arlington,76012,225000,,3.0,2.0
2885,708 N Cooper Street,Arlington,76011,232000,,2.0,2.0
2886,405 Jennifer Lane,Arlington,76002,258000,,3.0,2.0
2887,713 Sanford Court,Arlington,76012,276900,,3.0,3.0
2888,7124 Layla Road,Arlington,76016,319900,,4.0,3.0
2889,2106 Rocky Branch Court,Arlington,76013,420000,,5.0,3.0
2890,927 W Embercrest Drive,Arlington,76017,219990,,3.0,2.0
2891,2200 Stonegate Street,Arlington,76010,220000,,4.0,2.0
2892,4809 Beaver Creek Drive,Arlington,76005,404950,,2.0,2.0
2893,7501 Mcmillian Court,Arlington,76016,459000,,3.0,3.0
2894,6307 W Poly Webb Road,Arlington,76016,515000,,3.0,3.0
2896,4727 Abbott Avenue,Arlington,76018,200000,,3.0,2.0
2897,6705 Crestfield Drive,Arlington,76016,225000,,3.0,2.0
2898,2316 Stonegate Street,Arlington,76010,252900,,4.0,3.0
2899,930 Bridges Drive,Arlington,76012,255000,,2.0,2.0
2900,708 W Main Street,Arlington,76010,407000,,2.0,3.0
2901,5610 Lordsburg Trail,Arlington,76017,199900,,2.0,2.0
2902,3606 Tristan Court,Arlington,76016,376000,,3.0,3.0
2903,3607 Tristan Court,Arlington,76016,399700,,4.0,3.0
2904,3605 Tristan Court,Arlington,76016,407700,,3.0,3.0
2905,6803 Keeler Drive,Arlington,76001,260000,,3.0,2.0
2906,2501 Smouldering Wood Drive,Arlington,76016,265000,,3.0,2.0
2907,1127 Deer Valley Lane,Arlington,76001,280000,,4.0,2.0
2908,3600 Tristan Court,Arlington,76016,407700,,3.0,3.0
2909,1209 Calico Lane,Arlington,76011,110000,,1.0,1.0
2910,2116 Greenway Street,Arlington,76010,210000,,4.0,2.0
2911,205 Spanish Moss Drive,Arlington,76018,240000,,3.0,3.0
2912,5216 Stagetrail Drive,Arlington,76017,244999,,3.0,2.0
2913,2011 N Meadow Way Circle,Arlington,76015,325000,,3.0,3.0
2914,5021 Audie Court,Arlington,76001,336000,,3.0,2.0
2915,7919 Mosstree Drive,Arlington,76001,350000,,4.0,3.0
2916,1612 Rose Willow Way,Arlington,76005,522694,,3.0,4.0
2917,4627 Copper Mountain Trail,Arlington,76005,552008,,4.0,4.0
2918,1120 Deer Valley Lane,Arlington,76001,264000,,4.0,2.0
2919,1605 Barclay Drive,Arlington,76018,290000,,5.0,4.0
2920,4822 Beaver Creek Drive,Arlington,76005,466589,,2.0,3.0
2921,1720 Bradford Drive,Arlington,76010,200000,,3.0,2.0
2922,5311 Sherburne Drive,Arlington,76018,210000,,3.0,2.0
2923,6115 Copperfield Drive,Arlington,76001,275000,,3.0,3.0
2924,1827 Wynn Terrace,Arlington,76010,229900,,4.0,2.0
2925,1200 Brittany Lane,Arlington,76013,230000,,3.0,2.0
2926,7409 Dodd Court,Arlington,76016,275000,,3.0,3.0
2927,1301 Memory LN 4924,Arlington,76011,160000,,2.0,2.0
2928,710 Gentry Drive,Arlington,76018,240000,,3.0,2.0
2929,915 Pinehurst Drive,Arlington,76012,330000,,4.0,3.0
2930,103 Kalmia Court,Arlington,76018,185000,,3.0,2.0
2931,3912 Country Club Road,Arlington,76013,395000,,6.0,4.0
2932,1605 Gentle Wind Drive,Arlington,76018,165500,,2.0,1.0
2933,7205 Port Phillip Drive,Arlington,76002,320000,,4.0,3.0
2934,7014 Greenspring Drive,Arlington,76016,224900,,3.0,3.0
2935,5805 Sterling Green Trail,Arlington,76017,239900,,3.0,2.0
2936,2123 Post Wood Lane,Arlington,76018,249900,,4.0,3.0
2937,702 W Main Street,Arlington,76010,427000,,2.0,3.0
2938,1207 White Squall Trail,Arlington,76005,499716,,3.0,3.0
2939,1716 Granite Range Lane,Arlington,76005,729900,,4.0,4.0
2940,3627 Alexandria Drive,Arlington,76015,199900,,3.0,2.0
2941,2906 Leigh Ann Lane,Arlington,76010,210000,,3.0,2.0
2942,4705 Woodview Street,Arlington,76013,415000,,4.0,3.0
2943,1501 Rose Willow Way,Arlington,76005,420787,,3.0,3.0
2944,1508 Rose Willow Way,Arlington,76005,436922,,3.0,3.0
2945,1812 Spotted Fawn Drive,Arlington,76005,437377,,2.0,2.0
2946,2327 Wilmette Drive,Arlington,76018,449955,,6.0,4.0
2947,1505 E Timberview Lane,Arlington,76014,209900,,4.0,2.0
2948,2019 Norwood Lane,Arlington,76013,275000,,3.0,2.0
2949,4011 Lemon Grass Way,Arlington,76005,469900,,3.0,2.0
2950,1719 Westview Terrace,Arlington,76013,135900,,3.0,2.0
2951,1405 Mount Evans Trail,Arlington,76005,365000,,3.0,2.0
2952,809 Mckenzie Place,Arlington,76018,265000,,4.0,2.0
2953,5115 Eagle Nest Drive,Arlington,76017,250000,,4.0,2.0
2954,2827 Curvilinear Ct,Dallas,,245000,2200,4.0,2.0
2955,7036 Winchester St,Dallas,,475000,2089,3.0,2.0
2956,132 W Woodin Blvd,Dallas,,275000,1800,4.0,2.0
2957,7311 Hardwood Trl,Dallas,,209900,1902,3.0,2.0
2958,2720 E Atoll Dr,Dallas,,225000,2500,5.0,2.0
2959,1337 Kingsley Dr,Dallas,,181900,1262,3.0,2.0
2960,10548 Wyatt St,Dallas,,499999,2522,4.0,3.0
2961,9835 Whistler Dr,Dallas,,275000,2482,4.0,3.0
2962,9747 E Lake Highlands Dr,Dallas,,395000,1500,3.0,2.0
2963,6009 Black Berry Ln,Dallas,,435000,2366,4.0,3.0
2964,3531 Burlingdell Ave,Dallas,,319000,1720,4.0,2.0
2965,6882 Avalon Ave,Dallas,,829500,1804,3.0,2.0
2966,12618 Trenton Dr,Dallas,,375000,2463,4.0,3.0
2967,2683 Peavy Rd,Dallas,,344900,2141,4.0,4.0
2968,3739 Vinecrest Dr,Dallas,,899000,4132,5.0,5.0
2969,1627 Wilbur St,Dallas,,325000,1820,3.0,2.0
2970,13536 Vida Ln,Dallas,,210000,1441,3.0,2.0
2971,1402 Seevers Ave,Dallas,,389000,2101,3.0,2.0
2972,4444 Valley Ridge Rd,Dallas,,24000000,20000,9.0,19.0
2973,10211 Carry Back Cir,Dallas,,485000,2042,3.0,3.0
2974,11232 Lanewood Cir,Dallas,,435000,1653,3.0,2.0
2975,10619 Lakemere Dr,Dallas,,499900,1647,3.0,2.0
2976,10525 Channel Dr,Dallas,,299000,2151,4.0,2.0
2977,5505 Ellsworth Ave,Dallas,,729000,2811,4.0,5.0
2978,1530 S Montreal Ave,Dallas,,327900,1122,2.0,2.0
2979,6015 Sunny Crest Ln,Dallas,,180000,1578,4.0,3.0
2980,1920 Oak Hill Cir,Dallas,,178374,1302,4.0,2.0
2981,8648 Forest Hills Blvd,Dallas,,650000,1712,3.0,3.0
2982,202 S Edgefield Ave,Dallas,,519900,2384,4.0,3.0
2983,11060 Wallbrook Dr,Dallas,,415000,2391,4.0,2.0
2984,12004 Rushing Creek Dr,,,445900,2860,4.0,4.0
2985,7297 Chinquapin Dr,,,325000,1995,4.0,2.0
2986,10313 Burgundy Dr,,,295000,1847,3.0,3.0
2987,11708 Blackhawk Dr,,,475000,2860,4.0,3.0
2988,12858 Palo Duro Dr,,,749000,4710,5.0,6.0
2989,1924 Dexter Ln,,,423550,1970,3.0,2.0
2990,11017 Aurora Ln,,,405000,2166,3.0,3.0
2991,3 Southern Hills Ct,,,725000,3193,4.0,4.0
2992,10229 Fire Ridge Dr,,,725000,5212,5.0,5.0
2993,2910 Reynolds Ln,,,389900,2236,3.0,2.0
2994,5904 Louisville Dr,,,375000,2027,4.0,2.0
2995,11566 Caladium Ln,,,465000,3178,4.0,4.0
2996,11025 Villita St,,,475000,2665,4.0,3.0
2997,11715 Eden Ln,,,439900,2837,4.0,3.0
2998,12684 Riverhill Rd,,,1299000,4854,5.0,7.0
2999,2450 Thorntree Dr,,,369000,2207,4.0,3.0
3000,8212 Pacific St,,,350000,2589,4.0,3.0
3001,6341 Lorwood Dr,,,579000,4885,5.0,5.0
3002,1090 Frisco Ranch Rd,,,489900,2845,4.0,4.0
3003,13942 Badger Creek Dr,,,549900,3556,5.0,4.0
3004,1692 Dowelling Ct,,,379900,2172,4.0,2.0
3005,2649 Marshall Dr,,,437500,2927,4.0,4.0
3006,1745 Evening Star Rd,,,625000,3412,4.0,5.0
3007,9805 Concord Dr,,,295000,1396,3.0,3.0
3008,7 Harbour Town Ct,,,1200000,4256,4.0,4.0
3009,5498 Balmoral Dr,,,530000,3027,4.0,4.0
3010,12571 Peace River Dr,,,520000,3691,5.0,4.0
3011,4900 Wisteria Dr,,,388900,2315,4.0,2.0
3012,5951 Beacon Hill Dr,,,775000,5544,5.0,5.0
3013,15246 Crystal Beach Ln,,,1150000,4813,6.0,6.0
3014,2224 Dampton Dr,,,479100,3380,4.0,4.0
3015,7801 Slater Trl,,,350000,1969,3.0,2.0
3016,3700 Straw Harvest Dr,,,399900,2404,3.0,3.0
3017,3705 Longbow Ln,,,424900,2303,3.0,2.0
3018,2917 Falling Brook Dr,,,495000,3323,6.0,4.0
3019,3236 Caravan Dr,,,535000,3512,4.0,4.0
3020,3300 Edwards Dr,,,489000,3664,4.0,4.0
3021,3932 Carrizo Dr,,,386900,2367,4.0,3.0
3022,3609 Banks Cir,,,445000,2442,4.0,3.0
3023,7616 Capella Ct,,,340000,1733,3.0,2.0
3024,2300 Belmont Pl,,,475000,2797,4.0,3.0
3025,3704 Aransas Dr,,,415000,2988,4.0,3.0
3026,6017 Pinto Ct,Plano,,250000,1923,3.0,2.0
3027,3629 Big Horn Trl,,,400000,2659,4.0,3.0
3028,6203 Rainier Rd,,,325000,1930,3.0,2.0
3029,1128 Gannon Dr,Plano,,290000,1820,3.0,2.0
3030,6509 Hillswick Dr,,,665000,3690,4.0,4.0
3032,5816 Johns Wood Dr,,,650000,3614,4.0,5.0
3033,4441 Bentley Dr,,,450000,2370,3.0,3.0
3034,3313 Estacado Ln,,,385000,2434,4.0,2.0
3035,1605 Tampico Dr,,,219900,2169,3.0,2.0
3036,4204 Warminster Dr,,,530000,3616,5.0,4.0
3037,2905 Newport Cir,,,319900,2464,3.0,3.0
3038,7536 Crested Butte Dr,,,375000,2460,4.0,3.0
3039,3501 Deep Valley Trl,,,370000,2208,3.0,3.0
3040,1400 Kittery Dr,,,399999,1628,3.0,2.0
3041,1809 Triple Crown Ln,,,700000,2871,4.0,3.0
3042,1505 Baffin Bay Dr,,,364900,2276,3.0,3.0
3043,6841 Flicker Ln,,,489900,3466,4.0,4.0
3044,13644 Cherokee Ranch Rd,Roanoke,,287900,2736,4.0,3.0
3045,5204 Ruston Ave,,,178000,1439,3.0,2.0
3046,1804 Glenmore Ave,Fort Worth,,244900,1896,4.0,3.0
3047,7105 Lindentree Ln,Fort Worth,,225000,1639,3.0,2.0
3048,5263 Meadowbrook Dr,Fort Worth,,229900,1710,4.0,3.0
3049,1035 E Harvey Ave,Fort Worth,,189900,1344,3.0,3.0
3050,7955 Mellie Ct,Fort Worth,,349900,4519,6.0,4.0
3051,4925 Cedar Brush Dr,,,315000,3697,5.0,4.0
3052,10137 Lone Eagle Dr,Fort Worth,,175000,1070,3.0,2.0
3053,313 Rock Prairie Ln,Fort Worth,,219900,2363,4.0,3.0
3054,10469 Evening View Dr,,,310000,3291,4.0,3.0
3055,8013 Summer Sun Dr,Fort Worth,,220000,1450,3.0,2.0
3056,7600 Kell Dr,Fort Worth,,199900,1626,4.0,2.0
3057,1729 Cedar Tree Dr,,,209900,1420,3.0,2.0
3058,1508 Meadow Lane Ter,Fort Worth,,199000,2008,3.0,2.0
3060,2613 Twinflower Dr,Fort Worth,,349900,2621,4.0,3.0
3061,3417 Glenmont Dr,Fort Worth,,190000,1533,3.0,2.0
3062,5128 Cliff Oaks Dr,,,215000,1557,3.0,2.0
3063,9104 Tyne Trl,Fort Worth,,300000,1854,3.0,2.0
3064,2700 W Fuller Ave,Fort Worth,,209000,1205,3.0,2.0
3065,3114 Rosen Ave,Fort Worth,,275000,2838,4.0,4.0
3066,3817 White Settlement Rd,Fort Worth,,520000,2089,2.0,2.0
3067,10445 Evening View Dr,,,279000,2700,4.0,3.0
3068,7245 Laguna Del Campo Trl,,,340000,2216,4.0,3.0
3069,9633 Ben Hogan Ln,Fort Worth,,550000,3072,5.0,3.0
3070,10920 Deauville Cir N,,,238500,1809,4.0,2.0
3071,2616 Countryside Ln,,,199900,1320,3.0,2.0
3072,9132 Quarry Ridge Trl,,,250000,1926,3.0,3.0
3073,14109 Rabbit Brush Ln,Haslet,,275000,2470,4.0,3.0
3074,1609 Axe Dr,Garland,,185500,1440,3.0,2.0
3075,2722 Princewood Dr,Garland,,295900,1969,4.0,2.0
3076,822 Westbrook Dr,,,225000,1482,4.0,2.0
3077,801 Royal Birkdale Dr,,,479900,3056,4.0,4.0
3078,4806 Snowdrop Dr,,,259000,1904,3.0,3.0
3079,2906 Branch Oaks Dr,Garland,,255000,2068,4.0,2.0
3080,2406 Mira Dr,Garland,,225000,1840,3.0,3.0
3081,4726 Maritime Cv,,,320000,2358,3.0,3.0
3082,4006 Bucknell Dr,,,240000,1567,3.0,2.0
3083,6310 Green Valley Dr,Garland,,206900,1695,3.0,2.0
3084,1513 Surrey Ct,,,399000,4143,5.0,4.0
3085,2005 High Summit Dr,,,234900,1350,3.0,2.0
3086,3229 Old Orchard Rd,,,199900,1277,3.0,2.0
3087,3142 Lariat Ln,,,270000,1480,3.0,2.0
3088,1504 Lakewood Dr,,,159950,914,3.0,1.0
3089,1314 Deville Cir,,,239000,1763,3.0,3.0
3090,5018 Hidden Creek Rd,,,360000,3233,4.0,3.0
3091,2826 Geneva Dr,Garland,,260000,1350,3.0,2.0
3092,2224 Limestone Ln,Garland,,179900,1348,2.0,2.0
3093,4506 Cornell Dr,,,279000,1571,3.0,2.0
3094,2806 Knightsbridge Ln,Garland,,399997,3425,4.0,4.0
3095,1822 McClary St,,,379900,2810,3.0,3.0
3096,4333 Hanover Dr,,,230000,1219,3.0,2.0
3097,1125 Gardengate Cir,,,304900,2088,4.0,2.0
3098,2817 Royalty Dr,Garland,,245000,1469,3.0,2.0
3099,3238 Knights Haven Ln,Garland,,238900,1898,3.0,2.0
3100,2817 Country Valley Rd,,,975000,8897,7.0,8.0
3101,418 Rosewood Hills Dr,,,219900,1238,4.0,2.0
3102,2209 Villawood Ln,,,319000,2432,4.0,3.0
3103,2909 Club Meadow Dr,,,375000,3391,4.0,4.0
3104,1026 Pedernales Trl,Irving,,349900,1897,3.0,2.0
3105,1726 Cypress Dr,Irving,,269999,2014,3.0,2.0
3106,1840 Pilgrim Dr,Irving,,287500,1713,3.0,2.0
3107,3221 Parker St,Irving,,229500,1971,4.0,3.0
3108,1422 Addington St,Irving,,284950,1689,4.0,2.0
3109,3829 Twin Falls St,Irving,,325000,1958,4.0,2.0
3110,8710 Broken Point Dr,Irving,,480000,2463,3.0,4.0
3111,309 Sheridan Trl,Irving,,349990,2046,3.0,3.0
3112,700 Irongate Cir,Irving,,299000,2210,3.0,3.0
3113,305 Steeplechase Dr,Irving,,1500000,8418,4.0,7.0
3114,1011 Belew St,Irving,,250000,1431,4.0,2.0
3115,1319 Glenbrook Dr,Irving,,325000,2874,4.0,3.0
3116,2621 Marta Dr,Irving,,215000,1164,3.0,2.0
3117,452 Richmond St,Irving,,365000,2220,3.0,3.0
3118,2508 W Rochelle Rd,Irving,,217000,1125,3.0,2.0
3119,905 Bower Dr,Irving,,275000,2279,5.0,4.0
3120,700 Cedar Elm Ct,Irving,,465000,3144,5.0,4.0
3121,4125 Astoria St,Irving,,275000,1552,3.0,2.0
3122,3206 Salinas Ct,Irving,,449900,3589,5.0,3.0
3123,3108 Wingren Rd,Irving,,430000,3765,4.0,3.0
3124,1621 Shadow Ln,Irving,,464900,2998,4.0,4.0
3125,2201 Pistachio Dr,Irving,,575000,4426,5.0,4.0
3126,111 Seva Ct,Irving,,249999,1364,3.0,3.0
3127,1821 E Grauwyler Rd #181,Irving,,112500,1084,2.0,2.0
3128,1811 Dennis St,Irving,,249000,1335,4.0,2.0
3129,400 Sewell Ct,Irving,,799000,4824,4.0,4.0
3130,5215 Montego Bay Dr,Irving,,470000,2667,4.0,3.0
3131,219 Cimarron Trl #3,Irving,,224900,1279,2.0,3.0
3132,2906 Pacific Ct,Irving,,365000,2684,4.0,3.0
3133,1401 N Britain Rd,Irving,,424990,3300,4.0,3.0
3134,1918 Rockbrook Dr,Arlington,,300000,2045,4.0,3.0
3135,3502 Yachtclub Ct,Arlington,,579000,3209,5.0,4.0
3136,331 Valley Spring Dr,Arlington,,199000,1136,3.0,2.0
3137,6103 Tidewater Dr,Arlington,,219900,1575,3.0,2.0
3138,6301 Walnut Springs Dr,Arlington,,139900,2374,3.0,2.0
3139,317 Iberis Dr,Arlington,,228000,1428,3.0,3.0
3140,3108 Stornoway Trl,Arlington,,280000,2119,3.0,2.0
3141,1409 Roanoke St,Arlington,,219900,1279,4.0,2.0
3142,2205 Polo Club Ct,Arlington,,250000,1661,3.0,2.0
3143,2207 New Mill Ln,Arlington,,375000,2497,4.0,3.0
3144,1108 Rocky Canyon Rd,Arlington,,305000,1870,3.0,2.0
3146,5405 Rome Ct,Arlington,,579000,3393,4.0,4.0
3147,1803 Tennyson Dr,Arlington,,395000,2601,4.0,3.0
3148,2405 Skylark Dr,Arlington,,224900,1924,4.0,2.0
3149,9115 Acre Meadows Ln,Arlington,,300000,1589,3.0,2.0
3150,3904 Castlehill Ct,Arlington,,289900,2327,4.0,3.0
3151,1511 Glenwillow Dr,Arlington,,220000,1481,3.0,2.0
3152,514 Gunnison Dr,Arlington,,320000,2134,4.0,2.0
3153,1615 Barclay Dr,Arlington,,290000,2527,4.0,2.0
3154,4710 Andalusia Trl,Arlington,,240000,1592,3.0,2.0
3155,823 Ogden Dr,Arlington,,339900,2936,5.0,3.0
3156,3704 Vista Chase Ct,Arlington,,385000,2723,5.0,3.0
3157,4004 Cypress Springs Dr,Arlington,,225000,1550,3.0,2.0
3158,2105 Oak Bluff Dr,Arlington,,315000,2366,4.0,3.0
3159,6702 Saddle Ridge Rd,Arlington,,349900,2201,3.0,2.0
3160,2802 Dover Gardens Dr,Arlington,,245000,1502,3.0,3.0
3161,7502 Marsland Ln,Arlington,,279990,2206,3.0,3.0
3162,9214 Squirrel Run Ct,Arlington,,334900,2231,4.0,2.0
3163,5305 Hillcroft Ave,Arlington,,249900,1750,3.0,2.0
3164,1909 Rambling Ridge Ln,Carrollton,,289900,1878,3.0,2.0
3166,3005 Hyde Ct,,,275000,1444,3.0,2.0
3167,2035 Clubridge Dr,,,210000,1728,3.0,2.0
3169,1533 Joy Dr,,,359900,1828,3.0,3.0
3170,1352 Marken Ct,,,340000,1843,4.0,3.0
3171,4720 Alexander Dr,,,544900,3072,4.0,4.0
3172,2105 Yewpon Ct,,,255000,1676,3.0,2.0
3173,1513 Bellflower Dr,,,349900,1929,3.0,2.0
3174,1704 Mayflower Dr,,,275000,1764,3.0,2.0
3176,1002 Ridgeview Dr,Carrollton,,365000,2580,3.0,2.0
3177,1305 Dallshan Dr,,,317550,1492,3.0,3.0
3178,2152 Spencer Ln,,,429000,2069,3.0,2.0
3179,4670 Rhett Ln #I,,,349900,1972,3.0,3.0
3180,1514 Cecil Dr,,,303000,1744,3.0,2.0
3181,6756 Stallion Ranch Rd,,,970000,4786,5.0,6.0
3182,2908 Maple Ct,Carrollton,,409900,2431,3.0,3.0
3183,2927 Winterberry Dr,,,259900,1930,3.0,2.0
3185,3725 Canon Gate Cir,Carrollton,,399000,2853,3.0,3.0
3186,1508 Prairie Dr,,,650000,4502,5.0,4.0
3187,2127 McParland Ct,,,292500,1803,2.0,3.0
3188,1901 Greenbrook Dr,Carrollton,,354900,2167,3.0,3.0
3189,3817 Harrison Dr,Carrollton,,425000,2666,4.0,2.0
3190,2517 Rosebud Cir,Carrollton,,350000,2368,4.0,3.0
3191,4216 Eastwood Dr,Carrollton,,399900,2723,4.0,3.0
3192,1514 Northland St,Carrollton,,398750,2347,4.0,3.0
3193,4121 Indian Run Dr,Carrollton,,310000,1940,2.0,3.0
3194,7200 Neches Pine Dr,Frisco,75036,564900,2997,3.0,2.5
3195,10045 Bell Rock Rd,Frisco,75035,365000,2169,3.0,2.0
3197,9991 Slick Rock Trl,Frisco,75033,449900,2574,4.0,2.5
3198,8326 Sitka St,Frisco,75035,515000,2962,4.0,2.5
3199,2079 Alcove Dr,Frisco,75034,640000,2695,4.0,2.5
3201,13714 French Creek Ln,Frisco,75035,475000,2373,3.0,2.5
3202,4520 Florence Dr,Frisco,75034,930000,4228,3.0,3.5
3203,7601 Blossom Ln,Frisco,75034,439900,2383,3.0,2.5
3205,6198 Rachel Dr,Frisco,75034,900000,4967,4.0,4.0
3206,12018 Chattanooga Dr,Frisco,75035,339999,1417,3.0,2.0
3208,9569 Lance Dr,Frisco,75035,460000,3069,4.0,2.5
3210,7152 Maumee Valley Ct,Frisco,75036,500000,2246,3.0,2.0
3211,13160 Guerin Dr,Frisco,75035,325000,2073,4.0,2.0
3212,6848 Regello Dr,Frisco,75034,340000,1818,2.0,2.5
3213,9758 Golden Fountain Dr,Frisco,75033,350000,2096,4.0,2.0
3217,1567 San Andres Dr,Frisco,75033,675000,4668,5.0,3.5
3220,1545 Morris Ln,Frisco,75034,679545,3623,4.0,3.0
3221,12923 Yale Ct,Frisco,75035,499900,1882,3.0,3.0
3222,16372 Lorna Doone Ln,Frisco,75033,774900,4147,5.0,4.5
3225,7927 Canal St,Frisco,75034,425000,1706,2.0,2.5
3227,2481 Haft River Rd,Frisco,75034,1152990,4002,5.0,4.0
3228,8260 Fairview Dr,Frisco,75033,540000,2128,3.0,3.5
3229,6006 Connely Dr,Frisco,75034,1200000,5253,5.0,4.5
3230,5111 Stillwater Trl,Frisco,75034,925000,4061,4.0,4.5
3231,1403 Crockett Dr,Frisco,75033,625000,3757,4.0,3.5
3232,12144 Cardinal Creek Dr,Frisco,75033,329000,1805,3.0,2.0
3233,949 Imperial Valley Ln,Frisco,75036,430000,1786,2.0,2.0
3234,2260 Lariat Trl,Frisco,75036,350000,1841,3.0,2.0
