,Price,# of Beds,# of Baths,Address,City,Zip Code
136,"$225,000",1 Bd,1 bath,1200 Main Street,"Dallas, TX",75202
137,"$225,000",3 Bd,3 bath,9826 Amberton Parkway,"Dallas, TX",75243
138,"$229,900",4 Bd,3 bath,406 Penguin Drive,"Dallas, TX",75241
139,"$235,000",4 Bd,3 bath,3919 Kenilworth Street,"Dallas, TX",75210
140,"$235,000",2 Bd,2 bath,6234 Bandera Avenue,"Dallas, TX",75225
141,"$239,900",2 Bd,3 bath,17820 Windflower Way,"Dallas, TX",75252
142,"$240,000",3 Bd,2 bath,1926 Berwick Avenue,"Dallas, TX",75203
143,"$240,000",1 Bd,2 bath,4102 Buena Vista Street,"Dallas, TX",75204
144,"$240,000",3 Bd,1 bath,11364 Lanewood Circle,"Dallas, TX",75218
145,"$240,000",3 Bd,2 bath,9307 Sandyhook Circle,"Dallas, TX",75227
146,"$245,000",3 Bd,2 bath,2210 Tosca Lane,"Dallas, TX",75224
147,"$249,000",3 Bd,2 bath,804 Cameron Avenue,"Dallas, TX",75223
148,"$250,000",4 Bd,2 bath,2639 Crest Ridge Drive,"Dallas, TX",75228
149,"$259,000",2 Bd,2 bath,2727 Reagan Street,"Dallas, TX",75219
150,"$259,900",4 Bd,2 bath,4144 Pluto Street,"Dallas, TX",75212
151,"$269,900",3 Bd,2 bath,100 N Hampton Road,"Dallas, TX",75208
152,"$299,000",3 Bd,2 bath,2119 Highwood Drive,"Dallas, TX",75228
153,"$317,900",0 Bd,0 bath,621 W 9th Street,"Dallas, TX",75208
154,"$319,000",4 Bd,2 bath,3531 Burlingdell Avenue,"Dallas, TX",75211
155,"$327,900",2 Bd,2 bath,1530 S Montreal Avenue,"Dallas, TX",75208
156,"$329,500",2 Bd,2 bath,4319 Bowser Avenue,"Dallas, TX",75219
157,"$329,900",3 Bd,2 bath,6932 Allview Lane,"Dallas, TX",75227
158,"$340,000",3 Bd,2 bath,2340 Peavy Place,"Dallas, TX",75228
159,"$349,900",3 Bd,2 bath,5200 Keller Springs Road,"Dallas, TX",75248
160,"$349,900",3 Bd,2 bath,2435 Hillsboro Avenue,"Dallas, TX",75228
161,"$359,000",4 Bd,2 bath,17928 Brent Drive,"Dallas, TX",75287
162,"$369,000",2 Bd,2 bath,2121 Kessler Court,"Dallas, TX",75208
163,"$374,900",3 Bd,2 bath,8949 Boundbrook Avenue,"Dallas, TX",75243
164,"$375,000",4 Bd,3 bath,12618 Trenton Drive,"Dallas, TX",75243
165,"$385,000",3 Bd,3 bath,2504 Kingsridge Drive,"Dallas, TX",75287
166,"$389,000",3 Bd,3 bath,2360 Peavy Place,"Dallas, TX",75228
167,"$390,000",3 Bd,2 bath,10660 Longmeadow Drive,"Dallas, TX",75238
168,"$390,000",2 Bd,2 bath,8634 Lockhaven Drive,"Dallas, TX",75238
169,"$390,000",3 Bd,3 bath,8783 Oak Stream,"Dallas, TX",75243
170,"$395,000",3 Bd,2 bath,9747 E Lake Highlands Drive,"Dallas, TX",75218
171,"$407,800",3 Bd,"3 bath
    | 2,636",6226 La Cosa DR,"Dallas, TX",75248
172,"$415,000",4 Bd,2 bath,11060 Wallbrook Drive,"Dallas, TX",75238
173,"$425,000",3 Bd,2 bath,10912 Beauty Lane,"Dallas, TX",75229
174,"$425,000",4 Bd,2 bath,3928 Walden Way,"Dallas, TX",75287
175,"$425,900",4 Bd,3 bath,6720 Natures Way,"Dallas, TX",75236
176,"$439,000",3 Bd,3 bath,4103 Country Brook Drive,"Dallas, TX",75287
177,"$440,000",4 Bd,3 bath,3139 Whirlaway Road,"Dallas, TX",75229
178,"$450,000",0 Bd,0 bath,1416 N Carroll Avenue,"Dallas, TX",75204
179,"$450,000",3 Bd,2 bath,8105 Claremont Drive,"Dallas, TX",75228
180,"$454,900",2 Bd,3 bath,3501 Dickason Avenue,"Dallas, TX",75219
181,"$459,000",3 Bd,2 bath,10315 Cromwell Drive,"Dallas, TX",75229
182,"$465,000",3 Bd,3 bath,9102 Summer Glen,"Dallas, TX",75243
183,"$475,000",4 Bd,3 bath,3228 Altman Drive,"Dallas, TX",75229
184,"$479,000",0 Bd,1 bath,6246 Lakeshore Drive,"Dallas, TX",75214
185,"$485,000",3 Bd,3 bath,10211 Carry Back Circle,"Dallas, TX",75229
186,"$487,500",3 Bd,1 bath,917 N Beckley Avenue,"Dallas, TX",75203
187,"$487,500",2 Bd,1 bath,915 N Beckley Avenue,"Dallas, TX",75203
188,"$487,500",4 Bd,2 bath,909 N Beckley Avenue,"Dallas, TX",75203
189,"$487,500",2 Bd,2 bath,112 W 5 th Street,"Dallas, TX",75208
190,"$495,000",2 Bd,3 bath,4962 Fuqua Street,"Dallas, TX",75206
191,"$499,000",2 Bd,2 bath,6218 Reiger Avenue,"Dallas, TX",75214
192,"$499,900",3 Bd,2 bath,10619 Lakemere Drive,"Dallas, TX",75238
